iter	Passed	Remaining
590	4419	3058
591	4427	3051
592	4434	3043
593	4442	3036
594	4449	3028
595	4457	3021
596	4464	3013
597	4471	3005
598	4479	2999
599	4486	2991
600	4494	2984
601	4501	2976
602	4509	2969
603	4516	2961
604	4524	2953
605	4531	2946
606	4539	2938
607	4547	2931
608	4554	2924
609	4562	2917
610	4569	2909
611	4576	2901
612	4583	2893
613	4591	2886
614	4597	2877
615	4603	2869
616	4612	2863
617	4618	2855
618	4626	2847
619	4633	2839
620	4640	2832
621	4646	2824
622	4653	2815
623	4661	2808
624	4668	2801
625	4675	2793
626	4682	2785
627	4689	2777
628	4695	2769
629	4702	2761
630	4709	2754
631	4715	2745
632	4723	2738
633	4729	2730
634	4736	2722
635	4744	2715
636	4751	2707
637	4759	2700
638	4766	2692
639	4774	2685
640	4780	2677
641	4788	2670
642	4794	2662
643	4801	2654
644	4809	2647
645	4816	2639
646	4826	2633
647	4833	2625
648	4843	2619
649	4850	2611
650	4860	2605
651	4868	2598
652	4876	2591
653	4885	2584
654	4892	2577
655	4901	2570
656	4909	2563
657	4918	2556
658	4925	2548
659	4932	2540
660	4941	2534
661	4948	2526
662	4958	2520
663	4967	2513
664	4975	2506
665	4984	2499
666	4991	2492
667	5000	2485
668	5006	2477
669	5015	2470
670	5022	2462
671	5029	2454
672	5039	2448
673	5045	2440
674	5054	2433
675	5062	2426
676	5072	2420
677	5080	2412
678	5088	2405
679	5095	2397
680	5103	2390
681	5111	2383
682	5120	2376
683	5127	2368
684	5137	2362
685	5146	2355
686	5154	2348
687	5161	2340
688	5168	2332
689	5174	2324
690	5184	2318
691	5191	2310
692	5199	2303
693	5206	2295
694	5214	2288
695	5221	2280
696	5229	2273
697	5235	2265
698	5242	2257
699	5249	2249
700	5255	2241
701	5263	2234
702	5269	2226
703	5277	2219
704	5284	2211
705	5291	2203
706	5298	2195
707	5305	2187
708	5312	2180
709	5319	2172
710	5326	2164
711	5332	2157
712	5339	2149
713	5346	2141
714	5352	2133
715	5360	2126
716	5367	2118
717	5373	2110
718	5381	2103
719	5387	2095
720	5395	2087
721	5401	2079
722	5409	2072
723	5416	2064
724	5422	2056
725	5430	2049
726	5437	2041
727	5444	2034
728	5451	2026
729	5458	2018
730	5465	2011
731	5472	2003
732	5480	1996
733	5487	1988
734	5497	1982
735	5504	1974
736	5514	1967
737	5521	1960
738	5530	1953
739	5541	1947
740	5548	1939
741	5557	1932
742	5565	1924
743	5572	1917
744	5580	1910
745	5587	1902
746	5598	1896
747	5609	1889
748	5616	1882
749	5626	1875
750	5633	1867
751	5643	1861
752	5650	1853
753	5659	1846
754	5666	1838
755	5676	1832
756	5683	1824
757	5692	1817
758	5699	1809
759	5709	1803
760	5716	1795
761	5726	1788
762	5733	1780
763	5743	1774
764	5750	1766
765	5758	1759
766	5766	1751
767	5775	1744
768	5782	1736
769	5790	1729
770	5797	1722
771	5808	1715
772	5815	1707
773	5825	1701
774	5833	1693
775	5841	1686
776	5848	1678
777	5857	1671
778	5864	1663
779	5873	1656
780	5879	1648
781	5888	1641
782	5894	1633
783	5904	1626
784	5911	1618
785	5921	1612
786	5928	1604
787	5937	1597
788	5944	1589
789	5953	1582
790	5959	1574
791	5968	1567
792	5975	1559
793	5982	1552
794	5989	1544
795	5996	1536
796	6004	1529
797	6011	1521
798	6019	1514
799	6026	1506
800	6033	1498
801	6039	1491
802	6046	1483
803	6053	1475
804	6060	1467
805	6068	1460
806	6075	1453
807	6082	1445
808	6088	1437
809	6095	1429
810	6102	1422
811	6109	1414
812	6116	1406
813	6123	1399
814	6130	1391
815	6137	1383
816	6143	1376
817	6151	1368
818	6158	1361
819	6165	1353
820	6172	1345
821	6179	1338
822	6185	1330
823	6192	1322
824	6199	1315
825	6207	1307
826	6214	1300
827	6221	1292
828	6233	1285
829	6240	1278
830	6249	1271
831	6256	1263
832	6266	1256
833	6273	1248
834	6283	1241
835	6290	1233
836	6299	1226
837	6306	1219
838	6316	1212
839	6323	1204
840	6334	1197
841	6340	1189
842	6351	1182
843	6360	1175
844	6368	1168
845	6375	1160
846	6383	1153
847	6389	1145
848	6399	1138
849	6405	1130
850	6415	1123
851	6422	1115
852	6432	1108
853	6439	1100
854	6449	1093
855	6456	1086
856	6467	1079
857	6477	1072
858	6484	1064
859	6493	1057
860	6500	1049
861	6508	1041
862	6516	1034
863	6522	1026
864	6531	1019
865	6538	1011
866	6547	1004
867	6554	996
868	6562	989
869	6570	981
870	6580	974
871	6587	966
872	6596	959
873	6602	951
874	6610	944
875	6617	936
876	6625	929
877	6632	921
878	6640	914
879	6646	906
880	6653	898
881	6662	891
882	6668	883
883	6675	875
884	6681	868
885	6689	860
886	6695	853
887	6702	845
888	6709	837
889	6716	830
890	6725	822
891	6732	815
892	6739	807
893	6746	799
894	6753	792
895	6761	784
896	6767	777
897	6775	769
898	6781	761
899	6788	754
900	6795	746
901	6801	738
902	6809	731
903	6816	723
904	6824	716
905	6830	708
906	6838	701
907	6845	693
908	6853	686
909	6861	678
910	6867	670
911	6878	663
912	6886	656
913	6893	648
914	6900	640
915	6910	633
916	6916	626
917	6925	618
918	6932	610
919	6939	603
920	6946	595
921	6954	588
922	6961	580
923	6970	573
924	6977	565
